Module                  Size  Used by
mimodulo               12288  0
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
qrtr                   53248  2
snd_hda_codec_hdmi     98304  1
binfmt_misc            24576  1
intel_rapl_msr         20480  0
intel_rapl_common      53248  1 intel_rapl_msr
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
coretemp               24576  0
dell_pc                12288  0
platform_profile       20480  1 dell_pc
kvm_intel             487424  0
nls_iso8859_1          12288  1
wl                   6488064  0
snd_hda_codec_realtek   212992  1
cmdlinepart            16384  0
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
spi_nor               163840  0
mtd                    98304  4 spi_nor,cmdlinepart
kvm                  1425408  1 kvm_intel
snd_hda_intel          61440  2
dell_wmi               28672  0
snd_intel_dspcfg       45056  1 snd_hda_intel
dell_smbios            36864  2 dell_wmi,dell_pc
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
at24                   28672  0
spi_intel_platform     12288  0
spi_intel              36864  1 spi_intel_platform
irqbypass              12288  1 kvm
dell_wmi_descriptor    20480  2 dell_wmi,dell_smbios
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
i915                 4702208  26
sparse_keymap          12288  1 dell_wmi
snd_seq_midi           24576  0
rapl                   20480  0
mei_pxp                16384  0
mei_hdcp               28672  0
dcdbas                 20480  1 dell_smbios
snd_hda_core          147456  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
i2c_i801               36864  0
snd_seq_midi_event     16384  1 snd_seq_midi
intel_cstate           20480  0
cfg80211             1437696  1 wl
snd_rawmidi            57344  1 snd_seq_midi
i2c_smbus              20480  1 i2c_i801
i2c_mux                16384  1 i2c_i801
snd_hwdep              20480  1 snd_hda_codec
drm_buddy              24576  1 i915
snd_pcm               192512  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
ttm                   118784  1 i915
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
lpc_ich                32768  0
drm_display_helper    278528  1 i915
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
cec                    94208  2 drm_display_helper,i915
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
mei_me                 53248  2
rc_core                73728  1 cec
snd                   143360  17 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_pcm,snd_rawmidi
i2c_algo_bit           16384  1 i915
mei                   172032  5 mei_hdcp,mei_pxp,mei_me
joydev                 32768  0
input_leds             12288  0
soundcore              16384  1 snd
mac_hid                12288  0
sch_fq_codel           24576  3
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              24576  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
btrfs                2088960  0
blake2b_generic        20480  0
raid10                 73728  0
raid456               192512  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    20480  2 async_xor,btrfs
raid6_pq              126976  4 async_pq,btrfs,raid456,async_raid6_recov
raid1                  61440  0
raid0                  24576  0
linear                 16384  0
dm_mirror              24576  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_generic            12288  0
usbhid                 77824  0
hid                   262144  2 usbhid,hid_generic
polyval_clmulni        12288  0
polyval_generic        12288  1 polyval_clmulni
ghash_clmulni_intel    16384  0
sha256_ssse3           32768  0
sha1_ssse3             32768  0
ahci                   49152  2
e1000e                356352  0
libahci                53248  1 ahci
video                  77824  2 dell_wmi,i915
wmi                    28672  4 video,dell_wmi,dell_smbios,dell_wmi_descriptor
aesni_intel           122880  0
crypto_simd            16384  1 aesni_intel
cryptd                 24576  2 crypto_simd,ghash_clmulni_intel
